tau_1,tau_2,patch_acc_multi,patch_f1_macro,patch_pre_macro,patch_rec_macro,patch_f1_weighted,patch_pre_weighted,patch_rec_weighted,patch_f1_micro,patch_acc_bin,patch_f1_bin,patch_pre_bin,patch_rec_bin
0.42,0.13,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.42,0.14,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.42,0.15,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.42,0.16,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.42,0.17,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.42,0.18,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.42,0.19,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.42,0.2,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.42,0.21,0.9697,0.8571,0.8973,0.8296,0.9687,0.9696,0.9697,0.9697,0.9773,0.9,0.9474,0.8571
0.42,0.22,0.9697,0.8571,0.8973,0.8296,0.9687,0.9696,0.9697,0.9697,0.9773,0.9,0.9474,0.8571
0.42,0.23,0.9697,0.8571,0.8973,0.8296,0.9687,0.9696,0.9697,0.9697,0.9773,0.9,0.9474,0.8571
0.42,0.24,0.9716,0.8622,0.9077,0.8299,0.9703,0.9712,0.9716,0.9716,0.9792,0.9076,0.9643,0.8571
0.42,0.25,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.42,0.26,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.42,0.27,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.42,0.28,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.42,0.29,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.42,0.3,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.42,0.31,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.42,0.32,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.42,0.33,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.42,0.34,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.42,0.35,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.42,0.36,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.42,0.37,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.42,0.38,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.42,0.39,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.42,0.4,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.42,0.41,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.42,0.42,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.43,0.0,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.43,0.01,0.892,0.6971,0.6432,0.8213,0.9103,0.9416,0.892,0.892,0.9053,0.6988,0.5631,0.9206
0.43,0.02,0.9394,0.7627,0.7194,0.829,0.9442,0.9526,0.9394,0.9394,0.9527,0.8227,0.7436,0.9206
0.43,0.03,0.9545,0.7947,0.766,0.8315,0.9563,0.9593,0.9545,0.9545,0.9678,0.8722,0.8286,0.9206
0.43,0.04,0.9583,0.8015,0.7884,0.8194,0.9591,0.9605,0.9583,0.9583,0.9716,0.8837,0.8636,0.9048
0.43,0.05,0.964,0.8178,0.8313,0.8203,0.9643,0.9669,0.964,0.964,0.9773,0.9048,0.9048,0.9048
0.43,0.06,0.9659,0.8392,0.8549,0.8382,0.9659,0.9681,0.9659,0.9659,0.9754,0.896,0.9032,0.8889
0.43,0.07,0.9659,0.8392,0.8549,0.8382,0.9659,0.9681,0.9659,0.9659,0.9754,0.896,0.9032,0.8889
0.43,0.08,0.9678,0.8477,0.8708,0.8385,0.9678,0.9698,0.9678,0.9678,0.9773,0.9032,0.918,0.8889
0.43,0.09,0.9678,0.8477,0.8708,0.8385,0.9678,0.9698,0.9678,0.9678,0.9773,0.9032,0.918,0.8889
0.43,0.1,0.9659,0.836,0.8646,0.8207,0.9656,0.9673,0.9659,0.9659,0.9754,0.8943,0.9167,0.873
0.43,0.11,0.9659,0.8363,0.8762,0.8114,0.9652,0.9667,0.9659,0.9659,0.9754,0.8926,0.931,0.8571
0.43,0.12,0.9659,0.8363,0.8762,0.8114,0.9652,0.9667,0.9659,0.9659,0.9754,0.8926,0.931,0.8571
0.43,0.13,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.43,0.14,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.43,0.15,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.43,0.16,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.43,0.17,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.43,0.18,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.43,0.19,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.43,0.2,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.43,0.21,0.9697,0.8571,0.8973,0.8296,0.9687,0.9696,0.9697,0.9697,0.9773,0.9,0.9474,0.8571
0.43,0.22,0.9697,0.8571,0.8973,0.8296,0.9687,0.9696,0.9697,0.9697,0.9773,0.9,0.9474,0.8571
0.43,0.23,0.9697,0.8571,0.8973,0.8296,0.9687,0.9696,0.9697,0.9697,0.9773,0.9,0.9474,0.8571
0.43,0.24,0.9716,0.8622,0.9077,0.8299,0.9703,0.9712,0.9716,0.9716,0.9792,0.9076,0.9643,0.8571
0.43,0.25,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.43,0.26,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.43,0.27,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.43,0.28,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.43,0.29,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.43,0.3,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.43,0.31,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.43,0.32,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.43,0.33,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.43,0.34,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.43,0.35,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.43,0.36,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.43,0.37,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.43,0.38,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.43,0.39,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.43,0.4,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.43,0.41,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.43,0.42,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.43,0.43,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.44,0.0,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.44,0.01,0.892,0.6971,0.6432,0.8213,0.9103,0.9416,0.892,0.892,0.9053,0.6988,0.5631,0.9206
0.44,0.02,0.9394,0.7627,0.7194,0.829,0.9442,0.9526,0.9394,0.9394,0.9527,0.8227,0.7436,0.9206
0.44,0.03,0.9545,0.7947,0.766,0.8315,0.9563,0.9593,0.9545,0.9545,0.9678,0.8722,0.8286,0.9206
0.44,0.04,0.9583,0.8015,0.7884,0.8194,0.9591,0.9605,0.9583,0.9583,0.9716,0.8837,0.8636,0.9048
0.44,0.05,0.964,0.8178,0.8313,0.8203,0.9643,0.9669,0.964,0.964,0.9773,0.9048,0.9048,0.9048
0.44,0.06,0.9659,0.8392,0.8549,0.8382,0.9659,0.9681,0.9659,0.9659,0.9754,0.896,0.9032,0.8889
0.44,0.07,0.9659,0.8392,0.8549,0.8382,0.9659,0.9681,0.9659,0.9659,0.9754,0.896,0.9032,0.8889
0.44,0.08,0.9678,0.8477,0.8708,0.8385,0.9678,0.9698,0.9678,0.9678,0.9773,0.9032,0.918,0.8889
0.44,0.09,0.9678,0.8477,0.8708,0.8385,0.9678,0.9698,0.9678,0.9678,0.9773,0.9032,0.918,0.8889
0.44,0.1,0.9659,0.836,0.8646,0.8207,0.9656,0.9673,0.9659,0.9659,0.9754,0.8943,0.9167,0.873
0.44,0.11,0.9659,0.8363,0.8762,0.8114,0.9652,0.9667,0.9659,0.9659,0.9754,0.8926,0.931,0.8571
0.44,0.12,0.9659,0.8363,0.8762,0.8114,0.9652,0.9667,0.9659,0.9659,0.9754,0.8926,0.931,0.8571
0.44,0.13,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.44,0.14,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.44,0.15,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.44,0.16,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.44,0.17,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.44,0.18,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.44,0.19,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.44,0.2,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.44,0.21,0.9697,0.8571,0.8973,0.8296,0.9687,0.9696,0.9697,0.9697,0.9773,0.9,0.9474,0.8571
0.44,0.22,0.9697,0.8571,0.8973,0.8296,0.9687,0.9696,0.9697,0.9697,0.9773,0.9,0.9474,0.8571
0.44,0.23,0.9697,0.8571,0.8973,0.8296,0.9687,0.9696,0.9697,0.9697,0.9773,0.9,0.9474,0.8571
0.44,0.24,0.9716,0.8622,0.9077,0.8299,0.9703,0.9712,0.9716,0.9716,0.9792,0.9076,0.9643,0.8571
0.44,0.25,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.44,0.26,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.44,0.27,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.44,0.28,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.44,0.29,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.44,0.3,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.44,0.31,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.44,0.32,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.44,0.33,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.44,0.34,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.44,0.35,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.44,0.36,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.44,0.37,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.44,0.38,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.44,0.39,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.44,0.4,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.44,0.41,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.44,0.42,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.44,0.43,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.44,0.44,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.45,0.0,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.45,0.01,0.892,0.6971,0.6432,0.8213,0.9103,0.9416,0.892,0.892,0.9053,0.6988,0.5631,0.9206
0.45,0.02,0.9394,0.7627,0.7194,0.829,0.9442,0.9526,0.9394,0.9394,0.9527,0.8227,0.7436,0.9206
0.45,0.03,0.9545,0.7947,0.766,0.8315,0.9563,0.9593,0.9545,0.9545,0.9678,0.8722,0.8286,0.9206
0.45,0.04,0.9583,0.8015,0.7884,0.8194,0.9591,0.9605,0.9583,0.9583,0.9716,0.8837,0.8636,0.9048
0.45,0.05,0.964,0.8178,0.8313,0.8203,0.9643,0.9669,0.964,0.964,0.9773,0.9048,0.9048,0.9048
0.45,0.06,0.9659,0.8392,0.8549,0.8382,0.9659,0.9681,0.9659,0.9659,0.9754,0.896,0.9032,0.8889
0.45,0.07,0.9659,0.8392,0.8549,0.8382,0.9659,0.9681,0.9659,0.9659,0.9754,0.896,0.9032,0.8889
0.45,0.08,0.9678,0.8477,0.8708,0.8385,0.9678,0.9698,0.9678,0.9678,0.9773,0.9032,0.918,0.8889
0.45,0.09,0.9678,0.8477,0.8708,0.8385,0.9678,0.9698,0.9678,0.9678,0.9773,0.9032,0.918,0.8889
0.45,0.1,0.9659,0.836,0.8646,0.8207,0.9656,0.9673,0.9659,0.9659,0.9754,0.8943,0.9167,0.873
0.45,0.11,0.9659,0.8363,0.8762,0.8114,0.9652,0.9667,0.9659,0.9659,0.9754,0.8926,0.931,0.8571
0.45,0.12,0.9659,0.8363,0.8762,0.8114,0.9652,0.9667,0.9659,0.9659,0.9754,0.8926,0.931,0.8571
0.45,0.13,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.45,0.14,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.45,0.15,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.45,0.16,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.45,0.17,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.45,0.18,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.45,0.19,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.45,0.2,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.45,0.21,0.9697,0.8571,0.8973,0.8296,0.9687,0.9696,0.9697,0.9697,0.9773,0.9,0.9474,0.8571
0.45,0.22,0.9697,0.8571,0.8973,0.8296,0.9687,0.9696,0.9697,0.9697,0.9773,0.9,0.9474,0.8571
0.45,0.23,0.9697,0.8571,0.8973,0.8296,0.9687,0.9696,0.9697,0.9697,0.9773,0.9,0.9474,0.8571
0.45,0.24,0.9716,0.8622,0.9077,0.8299,0.9703,0.9712,0.9716,0.9716,0.9792,0.9076,0.9643,0.8571
0.45,0.25,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.45,0.26,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.45,0.27,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.45,0.28,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.45,0.29,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.45,0.3,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.45,0.31,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.45,0.32,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.45,0.33,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.45,0.34,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.45,0.35,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.45,0.36,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.45,0.37,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.45,0.38,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.45,0.39,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.45,0.4,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.45,0.41,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.45,0.42,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.45,0.43,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.45,0.44,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.45,0.45,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.46,0.0,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.46,0.01,0.892,0.6971,0.6432,0.8213,0.9103,0.9416,0.892,0.892,0.9053,0.6988,0.5631,0.9206
0.46,0.02,0.9394,0.7627,0.7194,0.829,0.9442,0.9526,0.9394,0.9394,0.9527,0.8227,0.7436,0.9206
0.46,0.03,0.9545,0.7947,0.766,0.8315,0.9563,0.9593,0.9545,0.9545,0.9678,0.8722,0.8286,0.9206
0.46,0.04,0.9583,0.8015,0.7884,0.8194,0.9591,0.9605,0.9583,0.9583,0.9716,0.8837,0.8636,0.9048
0.46,0.05,0.964,0.8178,0.8313,0.8203,0.9643,0.9669,0.964,0.964,0.9773,0.9048,0.9048,0.9048
0.46,0.06,0.9659,0.8392,0.8549,0.8382,0.9659,0.9681,0.9659,0.9659,0.9754,0.896,0.9032,0.8889
0.46,0.07,0.9659,0.8392,0.8549,0.8382,0.9659,0.9681,0.9659,0.9659,0.9754,0.896,0.9032,0.8889
0.46,0.08,0.9678,0.8477,0.8708,0.8385,0.9678,0.9698,0.9678,0.9678,0.9773,0.9032,0.918,0.8889
0.46,0.09,0.9678,0.8477,0.8708,0.8385,0.9678,0.9698,0.9678,0.9678,0.9773,0.9032,0.918,0.8889
0.46,0.1,0.9659,0.836,0.8646,0.8207,0.9656,0.9673,0.9659,0.9659,0.9754,0.8943,0.9167,0.873
0.46,0.11,0.9659,0.8363,0.8762,0.8114,0.9652,0.9667,0.9659,0.9659,0.9754,0.8926,0.931,0.8571
0.46,0.12,0.9659,0.8363,0.8762,0.8114,0.9652,0.9667,0.9659,0.9659,0.9754,0.8926,0.931,0.8571
0.46,0.13,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.46,0.14,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.46,0.15,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.46,0.16,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.46,0.17,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.46,0.18,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.46,0.19,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.46,0.2,0.9678,0.8406,0.8836,0.8117,0.9667,0.9678,0.9678,0.9678,0.9773,0.9,0.9474,0.8571
0.46,0.21,0.9697,0.8571,0.8973,0.8296,0.9687,0.9696,0.9697,0.9697,0.9773,0.9,0.9474,0.8571
0.46,0.22,0.9697,0.8571,0.8973,0.8296,0.9687,0.9696,0.9697,0.9697,0.9773,0.9,0.9474,0.8571
0.46,0.23,0.9697,0.8571,0.8973,0.8296,0.9687,0.9696,0.9697,0.9697,0.9773,0.9,0.9474,0.8571
0.46,0.24,0.9716,0.8622,0.9077,0.8299,0.9703,0.9712,0.9716,0.9716,0.9792,0.9076,0.9643,0.8571
0.46,0.25,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.46,0.26,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.46,0.27,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.46,0.28,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.46,0.29,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.46,0.3,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.46,0.31,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.46,0.32,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.46,0.33,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.46,0.34,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.46,0.35,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.46,0.36,0.9697,0.856,0.9065,0.8204,0.9682,0.9692,0.9697,0.9697,0.9773,0.8983,0.9636,0.8413
0.46,0.37,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.46,0.38,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.46,0.39,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.46,0.4,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
0.46,0.41,0.9659,0.8335,0.9008,0.7895,0.9636,0.965,0.9659,0.9659,0.9735,0.8793,0.9623,0.8095
